127.0.0.1 - - [01/Nov/2013:22:48:40 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:22:48:40 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:22:48:40 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:49:00 +0200] "GET / HTTP/1.1" 200 11679
127.0.0.1 - - [01/Nov/2013:22:49:00 +0200] "GET /img/style.css HTTP/1.1" 200 6701
127.0.0.1 - - [01/Nov/2013:22:49:00 +0200] "GET /js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:49:00 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:49:00 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:49:01 +0200] "GET /img/bg1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:49:01 +0200] "GET /img/bg2.jpg HTTP/1.1" 404 209
127.0.0.1 - - [01/Nov/2013:22:49:01 +0200] "GET /img/images/bg/3.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:49:01 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:49:01 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:49:01 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:22:49:01 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:49:01 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:22:49:01 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:22:49:01 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:49:23 +0200] "GET / HTTP/1.1" 200 11679
127.0.0.1 - - [01/Nov/2013:22:49:23 +0200] "GET /img/style.css HTTP/1.1" 200 6701
127.0.0.1 - - [01/Nov/2013:22:49:23 +0200] "GET /js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:49:23 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:49:23 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:49:24 +0200] "GET /img/bg1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:49:24 +0200] "GET /img/bg2.gif HTTP/1.1" 200 843922
127.0.0.1 - - [01/Nov/2013:22:49:24 +0200] "GET /img/images/bg/3.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:49:24 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:49:24 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:49:24 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:22:49:24 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:49:24 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:22:49:24 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:22:49:24 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:53:04 +0200] "GET / HTTP/1.1" 200 11679
127.0.0.1 - - [01/Nov/2013:22:53:04 +0200] "GET /img/style.css HTTP/1.1" 200 6733
127.0.0.1 - - [01/Nov/2013:22:53:04 +0200] "GET /js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:53:04 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:53:04 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:53:05 +0200] "GET /img/bg1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:53:05 +0200] "GET /img/bg2.gif HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:53:05 +0200] "GET /img/images/bg/3.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:53:05 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:53:05 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:53:05 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:22:53:05 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:53:05 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:22:53:05 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:22:53:05 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:58:13 +0200] "GET / HTTP/1.1" 200 11679
127.0.0.1 - - [01/Nov/2013:22:58:13 +0200] "GET /js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:58:13 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:58:13 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:58:13 +0200] "GET /img/style.css HTTP/1.1" 200 6732
127.0.0.1 - - [01/Nov/2013:22:58:15 +0200] "GET /img/bg1.jpg HTTP/1.1" 304 -
